"Group.1","x"
"1/1/2011",1.3975
"1/1/2012",1.6775
"1/1/2013",3.17
"1/1/2014",1.0325
"1/1/2015",4.0075
"1/1/2016",2.635
"1/1/2017",2.7375
"1/1/2018",4.2925
"1/1/2019",2.24
"1/1/2020",3.035
"1/1/2021",-0.06
"1/10/2011",5.485
"1/10/2012",2.565
"1/10/2013",4.7725
"1/10/2014",-2.675
"1/10/2015",5.8675
"1/10/2016",-0.115
"1/10/2017",1.685
"1/10/2018",-2.0525
"1/10/2019",8.355
"1/10/2020",1.5075
"1/11/2011",-0.175
"1/11/2012",-1.9975
"1/11/2013",-3.1125
"1/11/2014",-1.5325
"1/11/2015",0.9
"1/11/2016",5.5975
"1/11/2017",3.0025
"1/11/2018",-0.9
"1/11/2019",6.455
"1/11/2020",2.7475
"1/12/2011",2.4975
"1/12/2012",-0.955
"1/12/2013",-0.31
"1/12/2014",2.955
"1/12/2015",1.0325
"1/12/2016",0.4225
"1/12/2017",4.9425
"1/12/2018",-2.7
"1/12/2019",-0.0125
"1/12/2020",3.385
"1/13/2011",6.53
"1/13/2012",2.615
"1/13/2013",-1.2325
"1/13/2014",0.97
"1/13/2015",-1.0625
"1/13/2016",6.0075
"1/13/2017",4.075
"1/13/2018",2.385
"1/13/2019",-3.3675
"1/13/2020",-2.0075
"1/14/2011",5.58
"1/14/2012",4.635
"1/14/2013",1.6
"1/14/2014",0.425
"1/14/2015",-3.255
"1/14/2016",1.36
"1/14/2017",-2.195
"1/14/2018",2.7
"1/14/2019",-1.5225
"1/14/2020",-2.115
"1/15/2011",-0.075
"1/15/2012",2.9375
"1/15/2013",-2.055
"1/15/2014",0.5875
"1/15/2015",1.3575
"1/15/2016",1.2375
"1/15/2017",-0.5625
"1/15/2018",-3.5775
"1/15/2019",3.9525
"1/15/2020",1.095
"1/16/2011",2.83
"1/16/2012",-1.65
"1/16/2013",-0.605
"1/16/2014",2.1075
"1/16/2015",4.5
"1/16/2016",1.0925
"1/16/2017",-2.545
"1/16/2018",-1.81
"1/16/2019",3.2525
"1/16/2020",4.6775
"1/17/2011",-1.6725
"1/17/2012",2.6925
"1/17/2013",1.2575
"1/17/2014",-0.0875
"1/17/2015",0.0375
"1/17/2016",0.8475
"1/17/2017",-0.62
"1/17/2018",2.4875
"1/17/2019",0.8475
"1/17/2020",5.97
"1/18/2011",-0.55
"1/18/2012",4.73
"1/18/2013",2.885
"1/18/2014",3.535
"1/18/2015",-0.84
"1/18/2016",5.4525
"1/18/2017",2.4775
"1/18/2018",5.3
"1/18/2019",-1.9625
"1/18/2020",-1.8675
"1/19/2011",1.93
"1/19/2012",-0.21
"1/19/2013",1.8675
"1/19/2014",2.5975
"1/19/2015",3.86
"1/19/2016",8.1475
"1/19/2017",2.74
"1/19/2018",2.9125
"1/19/2019",-1.795
"1/19/2020",2.93
"1/2/2011",0.87
"1/2/2012",4.31
"1/2/2013",1.5475
"1/2/2014",-0.67
"1/2/2015",3.4025
"1/2/2016",4.14
"1/2/2017",-5.0525
"1/2/2018",6.3925
"1/2/2019",-0.0225
"1/2/2020",1.26
"1/20/2011",2.7275
"1/20/2012",1.17
"1/20/2013",3.25
"1/20/2014",2.41
"1/20/2015",-0.2725
"1/20/2016",5.0225
"1/20/2017",-1.45
"1/20/2018",2.9775
"1/20/2019",0.8225
"1/20/2020",5.16
"1/21/2011",2.715
"1/21/2012",-1.7525
"1/21/2013",0.0375
"1/21/2014",-0.4375
"1/21/2015",-2.7925
"1/21/2016",4.32
"1/21/2017",-0.2025
"1/21/2018",0.6525
"1/21/2019",9.4125
"1/21/2020",2.355
"1/22/2011",2.915
"1/22/2012",-2.335
"1/22/2013",5.9525
"1/22/2014",2.835
"1/22/2015",1.9525
"1/22/2016",0.895
"1/22/2017",-0.695
"1/22/2018",1.135
"1/22/2019",4.225
"1/22/2020",0.87
"1/23/2011",2.5875
"1/23/2012",-1.87
"1/23/2013",5.07
"1/23/2014",3.7925
"1/23/2015",1.85
"1/23/2016",-1.7825
"1/23/2017",-5.17
"1/23/2018",-0.7075
"1/23/2019",2.0425
"1/23/2020",-0.7825
"1/24/2011",-0.125
"1/24/2012",1.8875
"1/24/2013",0.4475
"1/24/2014",7.3425
"1/24/2015",0.855
"1/24/2016",3.23
"1/24/2017",2.25
"1/24/2018",4.0975
"1/24/2019",-0.3525
"1/24/2020",-3.2925
"1/25/2011",0.2125
"1/25/2012",1.2625
"1/25/2013",3.2775
"1/25/2014",2.2775
"1/25/2015",3.2675
"1/25/2016",0.515
"1/25/2017",2.4875
"1/25/2018",4.8325
"1/25/2019",4.1925
"1/25/2020",-3.2325
"1/26/2011",-2.9725
"1/26/2012",-1.67
"1/26/2013",1.735
"1/26/2014",2.2325
"1/26/2015",-2.27
"1/26/2016",1.985
"1/26/2017",2.3575
"1/26/2018",-0.6825
"1/26/2019",-0.5325
"1/26/2020",3.19
"1/27/2011",3.5475
"1/27/2012",1.5825
"1/27/2013",1.56
"1/27/2014",1.575
"1/27/2015",1.7525
"1/27/2016",3.86
"1/27/2017",4.89
"1/27/2018",4.11
"1/27/2019",-0.85
"1/27/2020",2.525
"1/28/2011",-0.5425
"1/28/2012",2.6575
"1/28/2013",1.0425
"1/28/2014",4.46
"1/28/2015",5.0425
"1/28/2016",-0.2975
"1/28/2017",2.6625
"1/28/2018",2.8175
"1/28/2019",0.29
"1/28/2020",3.5
"1/29/2011",1.595
"1/29/2012",6.6225
"1/29/2013",0.93
"1/29/2014",2.655
"1/29/2015",0.91
"1/29/2016",3.11
"1/29/2017",1.6025
"1/29/2018",-3.1525
"1/29/2019",-2.2725
"1/29/2020",2.9925
"1/3/2011",5.58
"1/3/2012",6.125
"1/3/2013",0.4675
"1/3/2014",3.075
"1/3/2015",-2.6175
"1/3/2016",1.4325
"1/3/2017",-2.2075
"1/3/2018",1.0125
"1/3/2019",1.0225
"1/3/2020",0.8725
"1/30/2011",0.1925
"1/30/2012",5.62
"1/30/2013",-0.5675
"1/30/2014",0.625
"1/30/2015",3.3075
"1/30/2016",2.49
"1/30/2017",2.5375
"1/30/2018",3.4725
"1/30/2019",2.9775
"1/30/2020",-1.965
"1/31/2011",-1.825
"1/31/2012",2.625
"1/31/2013",4.645
"1/31/2014",-0.4975
"1/31/2015",7.5
"1/31/2016",1.2525
"1/31/2017",1.2725
"1/31/2018",4.5075
"1/31/2019",4.8775
"1/31/2020",-2.03
"1/4/2011",1.6225
"1/4/2012",3.9225
"1/4/2013",4.9325
"1/4/2014",1.0475
"1/4/2015",0.1975
"1/4/2016",2.7675
"1/4/2017",1.9775
"1/4/2018",1.9975
"1/4/2019",-0.3125
"1/4/2020",-0.465
"1/5/2011",2.2575
"1/5/2012",2.21
"1/5/2013",5.2
"1/5/2014",-0.0600000000000001
"1/5/2015",7.215
"1/5/2016",1.9725
"1/5/2017",2.9475
"1/5/2018",8.435
"1/5/2019",0.465
"1/5/2020",4.9
"1/6/2011",-0.0175
"1/6/2012",1.75
"1/6/2013",0.7675
"1/6/2014",2.12
"1/6/2015",1.9775
"1/6/2016",0.33
"1/6/2017",0.07
"1/6/2018",8.0125
"1/6/2019",4.3775
"1/6/2020",1.86
"1/7/2011",1.1825
"1/7/2012",1.93
"1/7/2013",4.0925
"1/7/2014",7.5675
"1/7/2015",5.71
"1/7/2016",-0.7825
"1/7/2017",0.5425
"1/7/2018",4.5575
"1/7/2019",-0.57
"1/7/2020",1.335
"1/8/2011",0.16
"1/8/2012",2.855
"1/8/2013",1.215
"1/8/2014",1.555
"1/8/2015",7.74
"1/8/2016",-1.76
"1/8/2017",7.6625
"1/8/2018",2.305
"1/8/2019",-0.4975
"1/8/2020",5.2525
"1/9/2011",6.6625
"1/9/2012",-2.06
"1/9/2013",1.69
"1/9/2014",-1.685
"1/9/2015",3.155
"1/9/2016",-1.9775
"1/9/2017",4.145
"1/9/2018",4.29
"1/9/2019",2.1725
"1/9/2020",1.7125
"10/1/2011",4.2975
"10/1/2012",0.885
"10/1/2013",1.295
"10/1/2014",-0.945
"10/1/2015",-1.77
"10/1/2016",-5.695
"10/1/2017",-2.9075
"10/1/2018",1.64
"10/1/2019",-0.2675
"10/1/2020",1.47
"10/10/2011",-0.7625
"10/10/2012",0.69
"10/10/2013",-3.5875
"10/10/2014",-0.895
"10/10/2015",-0.425
"10/10/2016",2.625
"10/10/2017",0.0475
"10/10/2018",-1.0125
"10/10/2019",-1.685
"10/10/2020",1.345
"10/11/2011",-2.34
"10/11/2012",4.105
"10/11/2013",-0.6625
"10/11/2014",-1.98
"10/11/2015",-1.135
"10/11/2016",-2.34
"10/11/2017",-4.1475
"10/11/2018",-0.14
"10/11/2019",-1.84
"10/11/2020",1.3775
"10/12/2011",-5.9
"10/12/2012",3.9075
"10/12/2013",-4.34
"10/12/2014",-2.8575
"10/12/2015",0.955
"10/12/2016",-1.67
"10/12/2017",-6.2675
"10/12/2018",1.69
"10/12/2019",-0.53
"10/12/2020",-5.345
"10/13/2011",-3.0425
"10/13/2012",-3.0375
"10/13/2013",-5.6125
"10/13/2014",-3.255
"10/13/2015",0.0425
"10/13/2016",1.0275
"10/13/2017",-5.695
"10/13/2018",1.98
"10/13/2019",-0.4875
"10/13/2020",0.5575
"10/14/2011",0.66
"10/14/2012",1.2625
"10/14/2013",-4.3675
"10/14/2014",-1.7325
"10/14/2015",2.15
"10/14/2016",0.845
"10/14/2017",-0.2975
"10/14/2018",1.1375
"10/14/2019",0.115
"10/14/2020",3.5875
"10/15/2011",5.1775
"10/15/2012",0.9325
"10/15/2013",-3.03
"10/15/2014",-2.395
"10/15/2015",3.2675
"10/15/2016",-1.0125
"10/15/2017",0.62
"10/15/2018",1.905
"10/15/2019",-1.1225
"10/15/2020",1.1775
"10/16/2011",3.765
"10/16/2012",2.47
"10/16/2013",-2.345
"10/16/2014",0.38
"10/16/2015",2.9725
"10/16/2016",0.3225
"10/16/2017",2.91
"10/16/2018",3.57
"10/16/2019",-0.9575
"10/16/2020",0.73
"10/17/2011",2.3
"10/17/2012",0.6275
"10/17/2013",-0.7925
"10/17/2014",1.4425
"10/17/2015",4.7275
"10/17/2016",1.86
"10/17/2017",0.59
"10/17/2018",3.85
"10/17/2019",6.6875
"10/17/2020",1.0225
"10/18/2011",-1.315
"10/18/2012",-1.44
"10/18/2013",3.325
"10/18/2014",2.8425
"10/18/2015",6.145
"10/18/2016",0.75
"10/18/2017",1.715
"10/18/2018",4.7025
"10/18/2019",3.835
"10/18/2020",-2.245
"10/19/2011",-3.9825
"10/19/2012",0.1225
"10/19/2013",-1.095
"10/19/2014",5.045
"10/19/2015",1.6475
"10/19/2016",2.08
"10/19/2017",2.4775
"10/19/2018",3.1225
"10/19/2019",1.42
"10/19/2020",-1.5825
"10/2/2011",3.7025
"10/2/2012",-1.6075
"10/2/2013",3.245
"10/2/2014",-1.665
"10/2/2015",-4.285
"10/2/2016",-0.5375
"10/2/2017",0.3475
"10/2/2018",1.8975
"10/2/2019",2.55
"10/2/2020",0.5275
"10/20/2011",1.905
"10/20/2012",2.465
"10/20/2013",4.205
"10/20/2014",1.5575
"10/20/2015",2.805
"10/20/2016",-1.805
"10/20/2017",4.0475
"10/20/2018",2.4
"10/20/2019",-2.875
"10/20/2020",-1.05
"10/21/2011",3.3175
"10/21/2012",3.735
"10/21/2013",1.2425
"10/21/2014",0.0275
"10/21/2015",1.865
"10/21/2016",-0.92
"10/21/2017",-0.3625
"10/21/2018",5.455
"10/21/2019",0.0525
"10/21/2020",-0.09
"10/22/2011",3.295
"10/22/2012",3.5125
"10/22/2013",0.3075
"10/22/2014",1.7075
"10/22/2015",2.5175
"10/22/2016",5.585
"10/22/2017",-0.935
"10/22/2018",3.605
"10/22/2019",-2.135
"10/22/2020",0.0725
"10/23/2011",-0.2775
"10/23/2012",1.445
"10/23/2013",0.215
"10/23/2014",4.645
"10/23/2015",0.89
"10/23/2016",5.6775
"10/23/2017",-2.7925
"10/23/2018",3.6925
"10/23/2019",4.08
"10/23/2020",-1.21
"10/24/2011",-0.16
"10/24/2012",0.0525
"10/24/2013",5.3275
"10/24/2014",4.985
"10/24/2015",-4.6275
"10/24/2016",4.1175
"10/24/2017",-0.7425
"10/24/2018",4.1125
"10/24/2019",0.985
"10/24/2020",0.97
"10/25/2011",4.465
"10/25/2012",-2.68
"10/25/2013",5.8325
"10/25/2014",3.2325
"10/25/2015",2.0325
"10/25/2016",5.485
"10/25/2017",1.435
"10/25/2018",2.5975
"10/25/2019",0.9725
"10/25/2020",-1.865
"10/26/2011",2.08
"10/26/2012",-3.5525
"10/26/2013",4.9875
"10/26/2014",3.755
"10/26/2015",-0.6925
"10/26/2016",-0.51
"10/26/2017",2.2875
"10/26/2018",-1.755
"10/26/2019",0.215
"10/26/2020",-0.765
"10/27/2011",0.8
"10/27/2012",-3.515
"10/27/2013",3.6525
"10/27/2014",2.1225
"10/27/2015",-3.8375
"10/27/2016",-2.4825
"10/27/2017",1.84
"10/27/2018",-1.49
"10/27/2019",-3.2025
"10/27/2020",-0.4825
"10/28/2011",-0.83
"10/28/2012",-2.1075
"10/28/2013",-2.8125
"10/28/2014",1.475
"10/28/2015",-7.095
"10/28/2016",5.1725
"10/28/2017",0.15
"10/28/2018",2.3375
"10/28/2019",1.0375
"10/28/2020",-0.075
"10/29/2011",-2.23
"10/29/2012",2.285
"10/29/2013",-2.3275
"10/29/2014",2.1175
"10/29/2015",1.285
"10/29/2016",2.56
"10/29/2017",-2.38
"10/29/2018",3.0925
"10/29/2019",-3.5975
"10/29/2020",-3.495
"10/3/2011",2.62
"10/3/2012",0.86
"10/3/2013",1.1025
"10/3/2014",-3.085
"10/3/2015",-6.2175
"10/3/2016",0.6825
"10/3/2017",-2.9375
"10/3/2018",2.8275
"10/3/2019",-1.9425
"10/3/2020",3.02
"10/30/2011",3.1825
"10/30/2012",4.7625
"10/30/2013",-1.9975
"10/30/2014",2.3475
"10/30/2015",3.0925
"10/30/2016",3.9025
"10/30/2017",6.8725
"10/30/2018",4.34
"10/30/2019",-2.18
"10/30/2020",0.9575
"10/31/2011",-1.225
"10/31/2012",2.045
"10/31/2013",-0.41
"10/31/2014",-1.15
"10/31/2015",1.405
"10/31/2016",1.5575
"10/31/2017",3.0075
"10/31/2018",1.92
"10/31/2019",-1.0575
"10/31/2020",-1.07
"10/4/2011",2.9525
"10/4/2012",1.0225
"10/4/2013",0.7
"10/4/2014",0.835
"10/4/2015",-7.5675
"10/4/2016",-2.3575
"10/4/2017",-0.255
"10/4/2018",-1.1975
"10/4/2019",-0.195
"10/4/2020",-0.775
"10/5/2011",5.2325
"10/5/2012",2.9175
"10/5/2013",1.1275
"10/5/2014",2.4475
"10/5/2015",-4.1675
"10/5/2016",-5.185
"10/5/2017",3.135
"10/5/2018",-1.5325
"10/5/2019",-4.08
"10/5/2020",1.6225
"10/6/2011",-1.5625
"10/6/2012",2.255
"10/6/2013",0.0225
"10/6/2014",0.645
"10/6/2015",-0.9475
"10/6/2016",-2.0725
"10/6/2017",1.1
"10/6/2018",-1.585
"10/6/2019",-1.525
"10/6/2020",0.6375
"10/7/2011",-0.2475
"10/7/2012",-0.24
"10/7/2013",-0.675
"10/7/2014",0.8325
"10/7/2015",1.505
"10/7/2016",-3.665
"10/7/2017",0.7675
"10/7/2018",0.57
"10/7/2019",1.59
"10/7/2020",2.3975
"10/8/2011",-1.8125
"10/8/2012",1.545
"10/8/2013",0.505
"10/8/2014",4.4
"10/8/2015",1.3425
"10/8/2016",-2.985
"10/8/2017",0.68
"10/8/2018",-0.1475
"10/8/2019",-2.9475
"10/8/2020",3.2025
"10/9/2011",0.22
"10/9/2012",-1.395
"10/9/2013",-4.7375
"10/9/2014",2.5175
"10/9/2015",0.8675
"10/9/2016",1.525
"10/9/2017",-0.605
"10/9/2018",-2.4825
"10/9/2019",-2.885
"10/9/2020",2.8875
"11/1/2011",-2.135
"11/1/2012",2.615
"11/1/2013",0.0875
"11/1/2014",-1.1175
"11/1/2015",1.7275
"11/1/2016",-2.08
"11/1/2017",-3.2875
"11/1/2018",1.44
"11/1/2019",3.9275
"11/1/2020",-1.51
"11/10/2011",-0.125
"11/10/2012",0.1675
"11/10/2013",4.8525
"11/10/2014",-1.0875
"11/10/2015",-3.375
"11/10/2016",4.2325
"11/10/2017",3.22
"11/10/2018",7.0075
"11/10/2019",1.59
"11/10/2020",1.0175
"11/11/2011",5.1225
"11/11/2012",-0.3825
"11/11/2013",4.87
"11/11/2014",-1.23
"11/11/2015",4.55
"11/11/2016",3.58
"11/11/2017",-0.875
"11/11/2018",3.28
"11/11/2019",0.815
"11/11/2020",-0.4775
"11/12/2011",3.9025
"11/12/2012",-0.06
"11/12/2013",2.385
"11/12/2014",0.6625
"11/12/2015",0.355
"11/12/2016",1.505
"11/12/2017",0.3675
"11/12/2018",0.59
"11/12/2019",2.66
"11/12/2020",1.0625
"11/13/2011",2.215
"11/13/2012",2.3175
"11/13/2013",5.1125
"11/13/2014",1.2325
"11/13/2015",3.7825
"11/13/2016",4.035
"11/13/2017",-1.1425
"11/13/2018",-0.38
"11/13/2019",4.09
"11/13/2020",0.23
"11/14/2011",2.9625
"11/14/2012",-0.2975
"11/14/2013",3.7775
"11/14/2014",4.1075
"11/14/2015",6.955
"11/14/2016",2.7475
"11/14/2017",0.76
"11/14/2018",4.09
"11/14/2019",0.9125
"11/14/2020",4.4875
"11/15/2011",1.265
"11/15/2012",-3.7975
"11/15/2013",1
"11/15/2014",5.0325
"11/15/2015",4.4625
"11/15/2016",0.875
"11/15/2017",-1.8125
"11/15/2018",-5.7775
"11/15/2019",1.465
"11/15/2020",-2.975
"11/16/2011",-0.9925
"11/16/2012",-1.59
"11/16/2013",0.065
"11/16/2014",0.6675
"11/16/2015",4.5225
"11/16/2016",3.4925
"11/16/2017",2.1925
"11/16/2018",3.505
"11/16/2019",-2.915
"11/16/2020",5.95
"11/17/2011",2.235
"11/17/2012",-3.55
"11/17/2013",-1.25
"11/17/2014",-0.21
"11/17/2015",-2.0125
"11/17/2016",2.9125
"11/17/2017",4.96
"11/17/2018",4.005
"11/17/2019",-4.8875
"11/17/2020",5.7875
"11/18/2011",6.565
"11/18/2012",-6.4325
"11/18/2013",1.1075
"11/18/2014",6.195
"11/18/2015",-6.2125
"11/18/2016",1.0075
"11/18/2017",1.3
"11/18/2018",-1.245
"11/18/2019",-0.72
"11/18/2020",6.755
"11/19/2011",1.8875
"11/19/2012",-4.1125
"11/19/2013",5.37
"11/19/2014",5.41
"11/19/2015",-4.165
"11/19/2016",1.3325
"11/19/2017",4.33
"11/19/2018",0.5175
"11/19/2019",1.5
"11/19/2020",0.82
"11/2/2011",-0.77
"11/2/2012",3.8675
"11/2/2013",0.475
"11/2/2014",4.3275
"11/2/2015",1.075
"11/2/2016",0.7325
"11/2/2017",1.55
"11/2/2018",0.00999999999999997
"11/2/2019",-0.055
"11/2/2020",7.095
"11/20/2011",3.625
"11/20/2012",-2.445
"11/20/2013",-1.95
"11/20/2014",2.965
"11/20/2015",3.635
"11/20/2016",7
"11/20/2017",5.5125
"11/20/2018",2.625
"11/20/2019",3.0775
"11/20/2020",2.7925
"11/21/2011",0.645
"11/21/2012",-2.1625
"11/21/2013",-3.8825
"11/21/2014",6.0975
"11/21/2015",-1.8225
"11/21/2016",7.65
"11/21/2017",3.94
"11/21/2018",3.97
"11/21/2019",3.985
"11/21/2020",3.505
"11/22/2011",-3.4875
"11/22/2012",-2.5275
"11/22/2013",1.5375
"11/22/2014",1.855
"11/22/2015",2.0925
"11/22/2016",5.875
"11/22/2017",2.9675
"11/22/2018",2.99
"11/22/2019",2.065
"11/22/2020",-4.29
"11/23/2011",1.7625
"11/23/2012",-0.505
"11/23/2013",4.2625
"11/23/2014",2.925
"11/23/2015",4.5275
"11/23/2016",2.43
"11/23/2017",2.92
"11/23/2018",-3.2325
"11/23/2019",0.97
"11/23/2020",3.345
"11/24/2011",3.6525
"11/24/2012",4.385
"11/24/2013",8.675
"11/24/2014",-0.925
"11/24/2015",2.6075
"11/24/2016",-0.62
"11/24/2017",1.76
"11/24/2018",-2.98
"11/24/2019",2.22
"11/24/2020",3.69
"11/25/2011",3.005
"11/25/2012",4.6775
"11/25/2013",4.7125
"11/25/2014",1.6625
"11/25/2015",-3.8425
"11/25/2016",-1.3475
"11/25/2017",0.5175
"11/25/2018",2.67
"11/25/2019",1.715
"11/25/2020",0.175
"11/26/2011",1.785
"11/26/2012",1.3175
"11/26/2013",1.5025
"11/26/2014",-1.7975
"11/26/2015",-1.6925
"11/26/2016",1.7725
"11/26/2017",3.3325
"11/26/2018",-1.1825
"11/26/2019",0.2425
"11/26/2020",0.94
"11/27/2011",1.1575
"11/27/2012",-1.81
"11/27/2013",2.96
"11/27/2014",2.4175
"11/27/2015",2.1975
"11/27/2016",6.11
"11/27/2017",5.1
"11/27/2018",5.3875
"11/27/2019",0.5625
"11/27/2020",0.225
"11/28/2011",-0.2775
"11/28/2012",2.52
"11/28/2013",6.06
"11/28/2014",6.0775
"11/28/2015",4.405
"11/28/2016",0.2775
"11/28/2017",0.91
"11/28/2018",6.4125
"11/28/2019",5.8875
"11/28/2020",2.9475
"11/29/2011",-1.89
"11/29/2012",5.095
"11/29/2013",1.0625
"11/29/2014",-0.7875
"11/29/2015",-1.82
"11/29/2016",-1.695
"11/29/2017",3.435
"11/29/2018",5.8175
"11/29/2019",2.69
"11/29/2020",1.3375
"11/3/2011",0.2775
"11/3/2012",6.155
"11/3/2013",2.7525
"11/3/2014",6.4625
"11/3/2015",-0.1925
"11/3/2016",3.4175
"11/3/2017",1.0825
"11/3/2018",3.18
"11/3/2019",3.975
"11/3/2020",6.67
"11/30/2011",2.35
"11/30/2012",0.4675
"11/30/2013",-4.195
"11/30/2014",2.2575
"11/30/2015",-3.015
"11/30/2016",0.37
"11/30/2017",-3.1175
"11/30/2018",-1.5025
"11/30/2019",-0.4525
"11/30/2020",-2.78
"11/4/2011",-2.31
"11/4/2012",3.7725
"11/4/2013",-2.64
"11/4/2014",3.555
"11/4/2015",-0.125
"11/4/2016",1.3
"11/4/2017",-2.0975
"11/4/2018",-0.42
"11/4/2019",-1.3425
"11/4/2020",0.4575
"11/5/2011",-3.8475
"11/5/2012",1.89
"11/5/2013",-3.64
"11/5/2014",2.9475
"11/5/2015",-0.0375
"11/5/2016",2.5275
"11/5/2017",-2.815
"11/5/2018",-5.11
"11/5/2019",1.775
"11/5/2020",1.935
"11/6/2011",-1.6725
"11/6/2012",-2.8225
"11/6/2013",-1.5825
"11/6/2014",-1.875
"11/6/2015",1.5475
"11/6/2016",5.5875
"11/6/2017",2.2025
"11/6/2018",-0.1775
"11/6/2019",1.705
"11/6/2020",2.2
"11/7/2011",1.21
"11/7/2012",-1.45
"11/7/2013",1.835
"11/7/2014",3.395
"11/7/2015",3.07
"11/7/2016",-2.6625
"11/7/2017",-0.9625
